Datasets;SVM linear;SVM linear std;SVM poly;SVM poly std;SVM gauss;SVM gauss std;KNN;KNN std;Arbre de decision;Arbre de decision std;Adaboost;Adaboost std;Gradient boosting;Gradient boosting std;Temps Traitement
15.74% abalone8;0.7162286662166008;0.02746160067464181;0;0;0;0;0.817044060558952;0.022170210111868042;0.834779077396165;0.00711339165806652;0.815948372341769;0.008527420336763921;0.832893478650807;0.005571407435777289;0.010003857139963657
1.41% abalone17;0.7583133323779216;0.12150883259344253;0;0;0;0;0.9349189842921029;0.013666511824885031;0.9564927728266411;0.004421255213563999;0.9259253396499995;0.003321755104219189;0.947079763853697;0.004595674573530757;0.007148685715427356
0.63% abalone20;0.8979098498133846;0.02524798474096941;0;0;0;0;0.9587394474878757;0.00824036733650936;0.9739887133645911;0.003155847153417719;0.9730410882258509;0.004199873613011248;0.9714991853402422;0.0035220003866751363;0.00751037142306034
60.00% autompg;0.533002455454975;0.35205583830803755;0;0;0;0;0.7554106486883473;0.025166364286042582;0.8419529743894874;0.035831678480241075;1.0;0.0;0.8827035283557023;0.0301909652780849;0.0020415285751888795
80.16% australian;0.4528162941769408;0.18909552111456962;0;0;0;0;0.552247376429366;0.05977424765155062;0.7929000139965645;0.028022694809566075;0.9939649518129728;0.006241664842110347;0.8350397171856203;0.02151557669515667;0.0021983714125651333
85.46% balance;0.911102805760365;0.019047684522398904;0;0;0;0;0.8681416471272552;0.028665329947704245;0.8565931362133317;0.0202123647537676;0.999421965317919;0.001734104046242757;0.9043772607759737;0.015913213718372517;0.002155514292618526
13.25% bankmarketing;0.7723855493214218;0.05012973336477797;0;0;0;0;0.8707502602406029;0.013323248018148081;0.9282875455540947;0.0017430111673917663;0.9399928053899635;0.000998233604995058;0.9444455232570099;0.0014634738209692156;0.41204244285888436
72.50% bupa;0.3509614980268746;0.2493356776614264;0;0;0;0;0.496976971568566;0.07089229751590446;0.5425319886629361;0.04885877197411724;0.9988505747126437;0.0034482758620689616;0.6175055196966535;0.05862348680197284;0.0029191714212564485
42.86% german;0.36333300437120747;0.14797742443782658;0;0;0;0;0.3225733359395134;0.07647318486965295;0.4983781292483667;0.03182421048652344;0.7780885252882742;0.044544575101972884;0.550558891487695;0.041444515146711804;0.0037783857052480535
48.61% glass;0.19334532128072066;0.2421840675485638;0;0;0;0;0.6316833931588013;0.06233850196134155;0.6856777945621177;0.08502038550767073;1.0;0.0;0.7938921649100692;0.05177608335657008;0.002715257146129651
