Datasets;SVM linear;SVM linear std;SVM poly;SVM poly std;SVM gauss;SVM gauss std;KNN;KNN std;Arbre de decision;Arbre de decision std;Adaboost;Adaboost std;Gradient boosting;Gradient boosting std;Temps Traitement
15.74% abalone8;0.7266492016858735;0.017303477447311484;0.7467112607239955;0.00814665367803355;0.7466857295593538;0.007326542595216797;0.8106573080851744;0.01922128075447251;0.8314985678938228;0.011129200611824782;0.8139957930714653;0.007039374064361303;0.8327180449313957;0.010402399907293282;0.014922714268323034
1.41% abalone17;0.7754661040432008;0.11743648107826445;0.9039670658125802;0.004778803373146089;0.9106999617701156;0.004140315683964942;0.9347705551362975;0.013397629020597351;0.9529447797911159;0.003962470748739882;0.925129045490565;0.004719956475899794;0.9494416775903536;0.004406421489343842;0.01757834286295942
0.63% abalone20;0.9055084581016803;0.011029804764270347;0.9573651285566613;0.0036959420420051834;0.9549946761982222;0.0036388908976842027;0.9585174873030183;0.008325194968702853;0.9736765426161116;0.0023450381843523735;0.9717577115431879;0.002435261604291338;0.9702886876345251;0.003298895700741014;0.017136414285882244
60.00% autompg;0.48178815632385774;0.37604609214523194;0.7663778997920581;0.038985732067291154;0.7531704950090031;0.033425915458230655;0.706503999181671;0.06593639512045234;0.8190738638533345;0.03101487661284808;1.0;0.0;0.8769748830971447;0.024964358362698922;0.005857500014826655
Mean;0.7223529800386531;0.13045396385876956;0.8436053387213238;0.013901782790118994;0.8413877156341737;0.01213291615877415;0.8526123374265403;0.02672012496605626;0.8942984385385963;0.01211289653944128;0.9277206375263045;0.003548648036138109;0.9073558233133547;0.010768018865019265;0.013873742857997839
Average Rank;7.0;;5.0;;5.5;;4.25;;1.75;;2.5;;2.0;;
